iter	Logloss
0	0.6846640451
1	0.6742330279
2	0.665378843
3	0.6569211824
4	0.6488735335
5	0.6393109049
6	0.6305816514
7	0.6212090084
8	0.6148203441
9	0.6064439501
10	0.5990875789
11	0.5917264393
12	0.5831575394
13	0.5741849627
14	0.5674699715
15	0.5613581794
16	0.5534754481
17	0.5461385591
18	0.5390628747
19	0.5313298702
20	0.5230703354
21	0.515204634
22	0.5094642299
23	0.5032606806
24	0.4949381351
25	0.4885416371
26	0.482090916
27	0.4763567448
28	0.4705161367
29	0.465469156
30	0.4586104665
31	0.4526800769
32	0.4466111319
33	0.4408330917
34	0.4352419036
35	0.4308456012
36	0.4252308096
37	0.4203001431
38	0.4153237343
39	0.4105867658
40	0.4068567072
41	0.402719702
42	0.3993710109
43	0.394660541
44	0.3904691083
45	0.3854325158
46	0.3818138327
47	0.3772627967
48	0.3735847473
49	0.3695768629
50	0.3656942504
51	0.3619511468
52	0.3579119274
53	0.3534707342
54	0.349793366
55	0.3456499236
56	0.3413750785
57	0.3376827921
58	0.3337475913
59	0.3305113997
60	0.3273036139
61	0.3245579856
62	0.3209046296
63	0.3173009327
64	0.3137820108
65	0.3115005493
66	0.3093326773
67	0.3055677414
68	0.3021097183
69	0.2990086079
70	0.2955413205
71	0.2929297175
72	0.2899836472
73	0.2877400262
74	0.2854392188
75	0.2823815175
76	0.2800959519
77	0.2778517859
78	0.2754199845
79	0.2727008547
80	0.2706839698
81	0.2687076671
82	0.2663806507
83	0.264140623
84	0.2613860198
85	0.2589336463
86	0.2567736421
87	0.254655276
88	0.2523068019
89	0.2502661603
90	0.2483130864
91	0.2467630761
92	0.2448436533
93	0.2428713867
94	0.2408114842
95	0.239978058
96	0.2378560986
97	0.2357802902
98	0.2336610726
99	0.2316732918
100	0.229759625
101	0.2279363871
102	0.2261820521
103	0.2241686242
104	0.2227577482
105	0.221225466
106	0.2197121211
107	0.2179598127
108	0.2164031437
109	0.2145290034
110	0.2133731331
