Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cross Validation
Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.9928410553410553
XGBoost,0.9714285714285714,0.9230769230769231,0.972972972972973,0.9473684210526315,0.9952768302282865,0.9588481338481338
LightGBM,0.9642857142857143,0.9210526315789473,0.9459459459459459,0.9333333333333333,0.9916032537391761,0.9516570141570142
CatBoost,0.9642857142857143,0.9444444444444444,0.918918918918919,0.9315068493150684,0.9958016268695881,0.9641891891891892
Decision Tree,0.9142857142857143,0.8048780487804879,0.8918918918918919,0.8461538461538461,0.9071109944896353,0.8908140283140282
Random Forest,0.95,0.9411764705882353,0.8648648648648649,0.9014084507042254,0.9897664654946209,0.9462516087516086
SVM,0.9571428571428572,0.9696969696969697,0.8648648648648649,0.9142857142857143,0.9958016268695881,0.957046332046332
